file,category,upstream_repository,upstream_url,upstream_path,upstream_revision,differing_lines,notice
idma/backend/idma_dataflow_element.sv,small,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_dataflow_element.sv,v0.6.5,2,minor local edits (2 differing lines against the upstream version)
idma/backend/idma_error_handler.sv,small,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_error_handler.sv,v0.6.5,3,include paths adapted to this source tree; assertion includes removed (3 differing lines against the upstream version)
idma/backend/idma_init_read.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_init_read.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_init_write.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_init_write.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_legalizer_page_splitter.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_legalizer_page_splitter.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_legalizer_pow2_splitter.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_legalizer_pow2_splitter.sv,picobello-tapeout..v0.7.0-src,,
idma/backend/idma_legalizer_rw_axi.sv,medium,iDMA,https://github.com/pulp-platform/iDMA,target/rtl/idma_legalizer_rw_axi.sv,v0.6.5,11,adapted for the PKU_2602 SoC integration (11 differing lines against the upstream version)
idma/backend/idma_obi_read.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_obi_read.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_obi_write.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_obi_write.sv,picobello-tapeout..v0.6.5-src,,
idma/backend/idma_tilelink_read.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_tilelink_read.sv,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/backend/idma_tilelink_write.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/idma_tilelink_write.sv,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/backend/idma_transport_layer_rw_axi.sv,include-path,iDMA,https://github.com/pulp-platform/iDMA,target/rtl/idma_transport_layer_rw_axi.sv,picobello-tapeout..v0.6.5,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/backend/tpl/idma_backend.sv.tpl,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/tpl/idma_backend.sv.tpl,picobello-tapeout..v0.6.5-src,,
idma/backend/tpl/idma_backend_synth.sv.tpl,identical,iDMA,https://github.com/pulp-platform/iDMA,src/backend/tpl/idma_backend_synth.sv.tpl,picobello-tapeout..v0.6.5-src,,
idma/backend/tpl/idma_legalizer.sv.tpl,small,iDMA,https://github.com/pulp-platform/iDMA,src/backend/tpl/idma_legalizer.sv.tpl,v0.6.5,2,include paths adapted to this source tree; assertion includes removed (2 differing lines against the upstream version)
idma/backend/tpl/idma_transport_layer.sv.tpl,include-path,iDMA,https://github.com/pulp-platform/iDMA,src/backend/tpl/idma_transport_layer.sv.tpl,picobello-tapeout..v0.6.5-src,,include paths adapted to the flat source tree of this project (common_cells -> misc_common)
idma/frontend/idma_inst64_events.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/frontend/inst64/idma_inst64_events.sv,picobello-tapeout..v0.6.5-src,,
idma/frontend/idma_inst64_snitch_pkg.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,src/frontend/inst64/idma_inst64_snitch_pkg.sv,picobello-tapeout..v0.6.5-src,,
idma/frontend/idma_inst64_top.sv,medium,iDMA,https://github.com/pulp-platform/iDMA,src/frontend/inst64/idma_inst64_top.sv,v0.6.5,33,adapted for the PKU_2602 SoC integration (33 differing lines against the upstream version)
idma/frontend/idma_reg64_1d.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,target/rtl/idma_reg64_1d_top.sv,picobello-tapeout..v0.6.5,,
idma/frontend/idma_reg64_1d_reg_pkg.sv,identical,iDMA,https://github.com/pulp-platform/iDMA,target/rtl/idma_reg64_1d_reg_pkg.sv,picobello-tapeout..v0.6.5,,
